date,ChatGPT,Generative AI,Large Language Model,LLM,Claude,GitHub Copilot,AI writing,AI research assistant,AI literature review
2018-01-01,0,0,0,0,2,0,0,0,0
2018-02-01,0,0,0,0,2,0,0,0,0
2018-03-01,0,0,0,0,2,0,0,0,0
2018-04-01,0,0,0,0,2,0,0,0,0
2018-05-01,0,0,0,0,2,0,0,0,0
2018-06-01,0,0,0,0,2,0,0,0,0
2018-07-01,0,0,0,0,2,0,0,0,0
2018-08-01,0,0,0,0,2,0,0,0,0
2018-09-01,0,0,0,0,2,0,0,0,0
2018-10-01,0,0,0,0,2,0,0,0,0
2018-11-01,0,0,0,0,2,0,0,0,0
2018-12-01,0,0,0,0,2,0,0,0,0
2019-01-01,0,0,0,0,2,0,0,0,0
2019-02-01,0,0,0,0,2,0,0,0,0
2019-03-01,0,0,0,0,2,0,0,0,0
2019-04-01,0,0,0,0,2,0,0,0,0
2019-05-01,0,0,0,0,2,0,0,0,0
2019-06-01,0,0,0,0,2,0,0,0,0
2019-07-01,0,0,0,0,2,0,0,0,0
2019-08-01,0,0,0,0,2,0,0,0,0
2019-09-01,0,0,0,0,2,0,0,0,0
2019-10-01,0,0,0,0,2,0,0,0,0
2019-11-01,0,0,0,0,2,0,0,0,0
2019-12-01,0,0,0,0,2,0,0,0,0
2020-01-01,0,0,0,0,2,0,0,0,0
2020-02-01,0,0,0,0,2,0,0,0,0
2020-03-01,0,0,0,0,2,0,0,0,0
2020-04-01,0,0,0,0,2,0,0,0,0
2020-05-01,0,0,0,0,2,0,0,0,0
2020-06-01,0,0,0,0,2,0,0,0,0
2020-07-01,0,0,0,0,2,0,0,0,0
2020-08-01,0,0,0,0,2,0,0,0,0
2020-09-01,0,0,0,0,2,0,0,0,0
2020-10-01,0,0,0,0,2,0,0,0,0
2020-11-01,0,0,0,0,2,0,0,0,0
2020-12-01,0,0,0,0,3,0,0,0,0
2021-01-01,0,0,0,0,2,0,0,0,0
2021-02-01,0,0,0,0,2,0,0,0,0
2021-03-01,0,0,0,0,2,0,0,0,0
2021-04-01,0,0,0,0,2,0,0,0,0
2021-05-01,0,0,0,0,2,0,0,0,0
2021-06-01,0,0,0,0,2,0,0,0,0
2021-07-01,0,0,0,0,2,0,0,0,0
2021-08-01,0,0,0,0,2,0,0,0,0
2021-09-01,0,0,0,0,2,0,0,0,0
2021-10-01,0,0,0,0,6,0,0,0,0
2021-11-01,0,0,0,0,2,0,0,0,0
2021-12-01,0,0,0,0,2,0,0,0,0
2022-01-01,0,0,0,0,2,0,0,0,0
2022-02-01,0,0,0,0,2,0,0,0,0
2022-03-01,0,0,0,0,2,0,0,0,0
2022-04-01,0,0,0,0,2,0,0,0,0
2022-05-01,0,0,0,0,2,0,0,0,0
2022-06-01,0,0,0,0,2,0,0,0,0
2022-07-01,0,0,0,0,2,0,0,0,0
2022-08-01,0,0,0,0,2,0,0,0,0
2022-09-01,0,0,0,0,2,0,0,0,0
2022-10-01,0,0,0,0,2,0,0,0,0
2022-11-01,0,0,0,0,2,0,0,0,0
2022-12-01,8,0,0,0,2,0,0,0,0
2023-01-01,17,0,0,0,2,0,0,0,0
2023-02-01,33,0,0,0,2,0,0,0,0
2023-03-01,38,0,0,0,2,0,0,0,0
2023-04-01,41,0,0,0,2,0,0,0,0
2023-05-01,44,0,0,1,2,0,0,0,0
2023-06-01,39,0,0,1,2,0,0,0,0
2023-07-01,32,0,0,1,2,0,0,0,0
2023-08-01,34,0,0,1,2,0,0,0,0
2023-09-01,40,0,0,1,2,0,0,0,0
2023-10-01,45,0,0,1,2,0,0,0,0
2023-11-01,48,0,0,1,2,0,0,0,0
2023-12-01,44,0,0,1,2,0,0,0,0
2024-01-01,44,0,0,1,2,0,0,0,0
2024-02-01,47,1,0,1,2,0,0,0,0
2024-03-01,47,1,0,1,3,0,0,0,0
2024-04-01,50,0,0,1,3,0,0,0,0
2024-05-01,56,0,0,1,3,0,0,0,0
2024-06-01,51,1,0,1,3,0,0,0,0
2024-07-01,44,0,0,1,3,0,0,0,0
2024-08-01,54,0,0,1,3,0,0,0,0
2024-09-01,78,0,0,1,3,0,0,0,0
2024-10-01,89,0,0,1,4,0,0,0,0
2024-11-01,100,0,0,1,4,0,0,0,0
2024-12-01,91,0,0,1,4,0,0,0,0
2025-01-01,97,0,0,2,4,0,0,0,0
