boot,period,mean_distance,sample_size
0,Pre-GPT,1.3545169400705657,1000
0,Post-GPT,1.3314330799253966,1000
1,Pre-GPT,1.3551639424063806,1000
1,Post-GPT,1.3303721805722692,1000
2,Pre-GPT,1.3520523654272578,1000
2,Post-GPT,1.3273709205038373,1000
3,Pre-GPT,1.355719637738439,1000
3,Post-GPT,1.3314907349603124,1000
4,Pre-GPT,1.3517633358554801,1000
4,Post-GPT,1.33371366174409,1000
5,Pre-GPT,1.3548808416844496,1000
5,Post-GPT,1.333239127921004,1000
6,Pre-GPT,1.353128116162583,1000
6,Post-GPT,1.3308228506924789,1000
7,Pre-GPT,1.3548219070734868,1000
7,Post-GPT,1.3271303783148973,1000
8,Pre-GPT,1.3509109060954625,1000
8,Post-GPT,1.3325915472401328,1000
9,Pre-GPT,1.3515468933796921,1000
9,Post-GPT,1.336032747654501,1000
10,Pre-GPT,1.3531316652564624,1000
10,Post-GPT,1.3284675829078794,1000
11,Pre-GPT,1.352987897608128,1000
11,Post-GPT,1.3271361249838936,1000
12,Pre-GPT,1.3529389101293685,1000
12,Post-GPT,1.3321131098708072,1000
13,Pre-GPT,1.3561215283082777,1000
13,Post-GPT,1.3319493778620612,1000
14,Pre-GPT,1.3549376171537624,1000
14,Post-GPT,1.3290035775805473,1000
15,Pre-GPT,1.355149333027907,1000
15,Post-GPT,1.331965443509797,1000
16,Pre-GPT,1.3506692517285246,1000
16,Post-GPT,1.334671161685937,1000
17,Pre-GPT,1.3512938032170012,1000
17,Post-GPT,1.3385871947497492,1000
18,Pre-GPT,1.3486709226320013,1000
18,Post-GPT,1.3351373066419692,1000
19,Pre-GPT,1.3545743121061071,1000
19,Post-GPT,1.331433005688983,1000
20,Pre-GPT,1.3523054660073712,1000
20,Post-GPT,1.3306441935721462,1000
21,Pre-GPT,1.353983909336664,1000
21,Post-GPT,1.3323953475836374,1000
22,Pre-GPT,1.3524242797668036,1000
22,Post-GPT,1.3319354869716358,1000
23,Pre-GPT,1.352457461853364,1000
23,Post-GPT,1.329117412219914,1000
24,Pre-GPT,1.3508288662840398,1000
24,Post-GPT,1.3303546009187894,1000
25,Pre-GPT,1.353205540684698,1000
25,Post-GPT,1.3291871964178057,1000
26,Pre-GPT,1.3564342794950797,1000
26,Post-GPT,1.3299284934893025,1000
27,Pre-GPT,1.355230777114047,1000
27,Post-GPT,1.334922116667478,1000
28,Pre-GPT,1.3521827512405051,1000
28,Post-GPT,1.3341374026333275,1000
29,Pre-GPT,1.3537428671409721,1000
29,Post-GPT,1.332679956975875,1000
30,Pre-GPT,1.3506543818888093,1000
30,Post-GPT,1.329491789407821,1000
31,Pre-GPT,1.3550831328303157,1000
31,Post-GPT,1.3294538510302136,1000
32,Pre-GPT,1.3568625587010363,1000
32,Post-GPT,1.328480621008563,1000
33,Pre-GPT,1.3524235751124138,1000
33,Post-GPT,1.3283027243933991,1000
34,Pre-GPT,1.3544256901279406,1000
34,Post-GPT,1.3295849846423697,1000
35,Pre-GPT,1.3542820806822533,1000
35,Post-GPT,1.3305863973858385,1000
36,Pre-GPT,1.3506296473025792,1000
36,Post-GPT,1.3311306800817715,1000
37,Pre-GPT,1.3528441409844016,1000
37,Post-GPT,1.3290546558149345,1000
38,Pre-GPT,1.3550103075551683,1000
38,Post-GPT,1.32945364648168,1000
39,Pre-GPT,1.3524918761693587,1000
39,Post-GPT,1.3359387374451226,1000
40,Pre-GPT,1.3532681504379882,1000
40,Post-GPT,1.3310980893259787,1000
41,Pre-GPT,1.3531714306915184,1000
41,Post-GPT,1.3301830288036856,1000
42,Pre-GPT,1.3561932431473593,1000
42,Post-GPT,1.3309711839539529,1000
43,Pre-GPT,1.352933281101969,1000
43,Post-GPT,1.3314323066273446,1000
44,Pre-GPT,1.35666560573546,1000
44,Post-GPT,1.333558522571739,1000
45,Pre-GPT,1.352173692157655,1000
45,Post-GPT,1.332034075337676,1000
46,Pre-GPT,1.354434708324097,1000
46,Post-GPT,1.3310066773406806,1000
47,Pre-GPT,1.354354212229786,1000
47,Post-GPT,1.3319783234379063,1000
48,Pre-GPT,1.3566938171041394,1000
48,Post-GPT,1.3293230292965696,1000
49,Pre-GPT,1.3545825244022518,1000
49,Post-GPT,1.3269799528685897,1000
50,Pre-GPT,1.3535777678911995,1000
50,Post-GPT,1.3287999354000255,1000
51,Pre-GPT,1.353510555221997,1000
51,Post-GPT,1.3327790663503705,1000
52,Pre-GPT,1.350247002715207,1000
52,Post-GPT,1.3321934589262587,1000
53,Pre-GPT,1.353202158587634,1000
53,Post-GPT,1.3333607145987647,1000
54,Pre-GPT,1.3545973635043798,1000
54,Post-GPT,1.3295378449214261,1000
55,Pre-GPT,1.3553445248599334,1000
55,Post-GPT,1.3336371687951736,1000
56,Pre-GPT,1.3508984936046033,1000
56,Post-GPT,1.3302126121055495,1000
57,Pre-GPT,1.3543194464323272,1000
57,Post-GPT,1.3336429850149367,1000
58,Pre-GPT,1.354882050605477,1000
58,Post-GPT,1.3320907768584007,1000
59,Pre-GPT,1.3497910068948509,1000
59,Post-GPT,1.3313266807986457,1000
60,Pre-GPT,1.349676325037676,1000
60,Post-GPT,1.329119586885757,1000
61,Pre-GPT,1.352761805243475,1000
61,Post-GPT,1.33259134332913,1000
62,Pre-GPT,1.3554209532760784,1000
62,Post-GPT,1.3321792803843813,1000
63,Pre-GPT,1.353008842053169,1000
63,Post-GPT,1.334235500145138,1000
64,Pre-GPT,1.3543675902473802,1000
64,Post-GPT,1.3309220661434662,1000
65,Pre-GPT,1.3513729625049413,1000
65,Post-GPT,1.3312348520136796,1000
66,Pre-GPT,1.3541878661806284,1000
66,Post-GPT,1.3352856000116566,1000
67,Pre-GPT,1.352635605725368,1000
67,Post-GPT,1.3311260573079775,1000
68,Pre-GPT,1.3544299902467674,1000
68,Post-GPT,1.3284798925441603,1000
69,Pre-GPT,1.3520993851598797,1000
69,Post-GPT,1.3316078652461503,1000
70,Pre-GPT,1.3530376238612778,1000
70,Post-GPT,1.3365401896580134,1000
71,Pre-GPT,1.3526445552810937,1000
71,Post-GPT,1.328424193695303,1000
72,Pre-GPT,1.3496233353898306,1000
72,Post-GPT,1.3291546878127036,1000
73,Pre-GPT,1.352815626307915,1000
73,Post-GPT,1.3353481491085464,1000
74,Pre-GPT,1.3560371731655387,1000
74,Post-GPT,1.3324148377695224,1000
75,Pre-GPT,1.3532040225325368,1000
75,Post-GPT,1.3321027812598976,1000
76,Pre-GPT,1.355430975583924,1000
76,Post-GPT,1.3344963734535435,1000
77,Pre-GPT,1.3511963641575744,1000
77,Post-GPT,1.3330669286677739,1000
78,Pre-GPT,1.3535721075576808,1000
78,Post-GPT,1.3334445813841902,1000
79,Pre-GPT,1.3541924480709369,1000
79,Post-GPT,1.3290941627117696,1000
80,Pre-GPT,1.3565544231911286,1000
80,Post-GPT,1.3323595699885498,1000
81,Pre-GPT,1.3529362360483757,1000
81,Post-GPT,1.3298741418282893,1000
82,Pre-GPT,1.3529978953300874,1000
82,Post-GPT,1.3284621314033656,1000
83,Pre-GPT,1.3543098549381996,1000
83,Post-GPT,1.3315874697194237,1000
84,Pre-GPT,1.3519628263655796,1000
84,Post-GPT,1.3334819196356404,1000
85,Pre-GPT,1.3566365234943036,1000
85,Post-GPT,1.334934566835755,1000
86,Pre-GPT,1.3500725897525383,1000
86,Post-GPT,1.332003942212611,1000
87,Pre-GPT,1.3507122337133513,1000
87,Post-GPT,1.335337585925448,1000
88,Pre-GPT,1.3516174953565052,1000
88,Post-GPT,1.334561764194209,1000
89,Pre-GPT,1.35649646277489,1000
89,Post-GPT,1.3346307118283736,1000
90,Pre-GPT,1.3510777002718315,1000
90,Post-GPT,1.3335215726947933,1000
91,Pre-GPT,1.3546405955044374,1000
91,Post-GPT,1.330983981530876,1000
92,Pre-GPT,1.3511376597839428,1000
92,Post-GPT,1.333926203858124,1000
93,Pre-GPT,1.3521331623967998,1000
93,Post-GPT,1.331156106651514,1000
94,Pre-GPT,1.3538285123536096,1000
94,Post-GPT,1.330289195634924,1000
95,Pre-GPT,1.3537284084735621,1000
95,Post-GPT,1.3345253753148436,1000
96,Pre-GPT,1.3531526870925508,1000
96,Post-GPT,1.3314665679394941,1000
97,Pre-GPT,1.3568280098279397,1000
97,Post-GPT,1.3319117954148643,1000
98,Pre-GPT,1.3526720197200068,1000
98,Post-GPT,1.3348189348234938,1000
99,Pre-GPT,1.3510756525554495,1000
99,Post-GPT,1.3290952293552232,1000
