month,distance,n_papers,sample_size,time,post_gpt,time_after_gpt
2018-01-01,1.362599877433514,197,197,0,0,0
2018-02-01,1.363958925057306,203,203,1,0,0
2018-03-01,1.358522093960506,208,208,2,0,0
2018-04-01,1.3651193640864212,201,201,3,0,0
2018-05-01,1.360327035064554,241,241,4,0,0
2018-06-01,1.356641146535774,229,229,5,0,0
2018-07-01,1.3611457202643868,214,214,6,0,0
2018-08-01,1.3624715530278615,207,207,7,0,0
2018-09-01,1.3663687766261765,200,200,8,0,0
2018-10-01,1.359585092992561,231,231,9,0,0
2018-11-01,1.3572339430223537,218,218,10,0,0
2018-12-01,1.3586599315959045,232,232,11,0,0
2019-01-01,1.3634190323936493,223,223,12,0,0
2019-02-01,1.3653997570423275,210,210,13,0,0
2019-03-01,1.357925254800936,249,249,14,0,0
2019-04-01,1.3535977708761622,219,219,15,0,0
2019-05-01,1.3545901502854434,256,256,16,0,0
2019-06-01,1.346041635161137,257,257,17,0,0
2019-07-01,1.3567134015438587,267,267,18,0,0
2019-08-01,1.3581312176845761,209,209,19,0,0
2019-09-01,1.3523163962927776,272,272,20,0,0
2019-10-01,1.3579195938952624,283,283,21,0,0
2019-11-01,1.3522342993544882,246,246,22,0,0
2019-12-01,1.3607201550886134,245,245,23,0,0
2020-01-01,1.359343569604582,211,211,24,0,0
2020-02-01,1.3561551726864434,272,272,25,0,0
2020-03-01,1.354337892616227,307,307,26,0,0
2020-04-01,1.3547209168453722,299,299,27,0,0
2020-05-01,1.3589059881438927,287,287,28,0,0
2020-06-01,1.3539483559438865,315,315,29,0,0
2020-07-01,1.357238972698043,327,327,30,0,0
2020-08-01,1.3519384942132864,274,274,31,0,0
2020-09-01,1.3481082436498568,296,296,32,0,0
2020-10-01,1.343921000807359,335,335,33,0,0
2020-11-01,1.3522571177993572,290,290,34,0,0
2020-12-01,1.3491539545842335,298,298,35,0,0
2021-01-01,1.3559983643345308,275,275,36,0,0
2021-02-01,1.353860192648108,264,264,37,0,0
2021-03-01,1.349340727209789,342,342,38,0,0
2021-04-01,1.3453340648959553,302,302,39,0,0
2021-05-01,1.3521113932536828,331,331,40,0,0
2021-06-01,1.34012893427529,338,338,41,0,0
2021-07-01,1.3531483420009367,280,280,42,0,0
2021-08-01,1.3510591008584742,268,268,43,0,0
2021-09-01,1.3434681241246393,304,304,44,0,0
2021-10-01,1.3434900226448074,327,327,45,0,0
2021-11-01,1.3483969943803948,267,267,46,0,0
2021-12-01,1.3418422451507896,328,328,47,0,0
2022-01-01,1.3556795463479498,271,271,48,0,0
2022-02-01,1.3408884958415463,283,283,49,0,0
2022-03-01,1.3402160676421775,335,335,50,0,0
2022-04-01,1.3490001672521459,252,252,51,0,0
2022-05-01,1.3478691068252195,324,324,52,0,0
2022-06-01,1.3429047640236291,312,312,53,0,0
2022-07-01,1.3443917182854277,283,283,54,0,0
2022-08-01,1.3565960901379956,302,302,55,0,0
2022-09-01,1.3488254158034405,302,302,56,0,0
2022-10-01,1.340198996103379,355,355,57,0,0
2022-11-01,1.3420756174033162,352,352,58,0,0
2022-12-01,1.3530140621975293,305,305,59,1,0
2023-01-01,1.3504633373994361,267,267,60,1,1
2023-02-01,1.3426343051828393,275,275,61,1,2
2023-03-01,1.3392593611184767,373,373,62,1,3
2023-04-01,1.3414840169630426,304,304,63,1,4
2023-05-01,1.3261165452256807,401,401,64,1,5
2023-06-01,1.3393639405760358,367,367,65,1,6
2023-07-01,1.351350182515773,346,346,66,1,7
2023-08-01,1.339437127887302,303,303,67,1,8
2023-09-01,1.340918599127356,355,355,68,1,9
2023-10-01,1.3329190507152733,394,394,69,1,10
2023-11-01,1.340995572764465,349,349,70,1,11
2023-12-01,1.3422767399266078,406,406,71,1,12
2024-01-01,1.346695594579901,376,376,72,1,13
2024-02-01,1.327465407943321,396,396,73,1,14
2024-03-01,1.3342561969269524,465,465,74,1,15
2024-04-01,1.3365412295539885,432,432,75,1,16
2024-05-01,1.33283526146008,474,474,76,1,17
2024-06-01,1.322550637783641,451,451,77,1,18
2024-07-01,1.3395549567015224,399,399,78,1,19
2024-08-01,1.3388446492805237,361,361,79,1,20
2024-09-01,1.3360355706476625,421,421,80,1,21
2024-10-01,1.3212944948502032,528,500,81,1,22
2024-11-01,1.331483359171459,417,417,82,1,23
2024-12-01,1.3285281063080363,439,439,83,1,24
2025-01-01,1.3352076707991325,384,384,84,1,25
2025-02-01,1.3109822249422411,485,485,85,1,26
2025-03-01,1.3273614115385892,524,500,86,1,27
2025-04-01,1.325678700453258,461,461,87,1,28
2025-05-01,1.3184951727712244,610,500,88,1,29
2025-06-01,1.3125689765026078,498,498,89,1,30
2025-07-01,1.325090932291825,511,500,90,1,31
2025-08-01,1.3154391749550625,484,484,91,1,32
2025-09-01,1.3180699631422244,538,500,92,1,33
2025-10-01,1.3085008882376061,614,500,93,1,34
2025-11-01,1.3213402729021737,545,500,94,1,35
2025-12-01,1.3296763587206388,519,500,95,1,36
