nature_field,n_respondents,mean_frequency_score,share_any_use,share_weekly_or_daily,share_use_research,share_use_code,share_use_manuscripts,share_use_review,share_use_literature,share_use_scientific_search,share_use_brainstorm
computing,269,0.44716981132075473,0.8141263940520446,0.26022304832713755,0.20817843866171004,0.3048327137546468,0.18587360594795538,0.10408921933085502,0.1412639405204461,0.17472118959107807,0.2862453531598513
psychology,66,0.36153846153846153,0.7272727272727273,0.18181818181818182,0.16666666666666666,0.19696969696969696,0.18181818181818182,0.09090909090909091,0.13636363636363635,0.12121212121212122,0.22727272727272727
economics,54,0.3611111111111111,0.7777777777777778,0.18518518518518517,0.24074074074074073,0.18518518518518517,0.24074074074074073,0.1111111111111111,0.16666666666666666,0.12962962962962962,0.2962962962962963
engineering,340,0.35979228486646886,0.7323529411764705,0.19705882352941176,0.18529411764705883,0.23823529411764705,0.2,0.12941176470588237,0.1323529411764706,0.1411764705882353,0.23529411764705882
biomedical,450,0.3561111111111111,0.6866666666666666,0.2088888888888889,0.1688888888888889,0.20666666666666667,0.17555555555555555,0.1111111111111111,0.17555555555555555,0.17333333333333334,0.22444444444444445
social,120,0.35084033613445376,0.7333333333333333,0.2,0.25,0.175,0.175,0.10833333333333334,0.225,0.20833333333333334,0.4083333333333333
humanities,46,0.34444444444444444,0.6956521739130435,0.1956521739130435,0.2608695652173913,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.21739130434782608,0.15217391304347827,0.32608695652173914
biological,321,0.31853582554517135,0.6448598130841121,0.1557632398753894,0.14953271028037382,0.205607476635514,0.17133956386292834,0.08722741433021806,0.16199376947040497,0.11838006230529595,0.19003115264797507
mathematics,75,0.31756756756756754,0.6533333333333333,0.16,0.12,0.12,0.13333333333333333,0.08,0.09333333333333334,0.16,0.17333333333333334
physical,190,0.30394736842105263,0.6473684210526316,0.14736842105263157,0.12105263157894737,0.22631578947368422,0.16842105263157894,0.07368421052631578,0.11578947368421053,0.13157894736842105,0.16842105263157894
earth,121,0.3037190082644628,0.6115702479338843,0.17355371900826447,0.11570247933884298,0.21487603305785125,0.11570247933884298,0.0743801652892562,0.15702479338842976,0.12396694214876033,0.1487603305785124
chemical,192,0.299738219895288,0.6197916666666666,0.14583333333333334,0.140625,0.21354166666666666,0.171875,0.08333333333333333,0.11458333333333333,0.11458333333333333,0.109375
environmental,165,0.2818181818181818,0.6303030303030303,0.12121212121212122,0.19393939393939394,0.22424242424242424,0.13333333333333333,0.10303030303030303,0.17575757575757575,0.20606060606060606,0.19393939393939394
agriculture,120,0.25,0.6,0.08333333333333333,0.16666666666666666,0.14166666666666666,0.06666666666666667,0.075,0.15833333333333333,0.15833333333333333,0.2
