cat,month,n,no,ng,S_all,recon,resid,SA,SB,D,pi
cs.AI,2023-05,50,37,13,1.2220097862620998,1.2220097862620998,0.0,1.2345034925587048,1.1045587646020054,1.2237569199335103,0.26
cs.AI,2023-08,50,30,20,1.217146062048136,1.2171460620481358,2.220446049250313e-16,1.2334101738357472,1.1570986643010266,1.2243695902887022,0.4
cs.AI,2023-09,50,31,19,1.2295277740091939,1.2295277740091937,2.220446049250313e-16,1.2466434616118582,1.1612241988008596,1.2358454592814963,0.38
cs.AI,2023-10,50,32,18,1.226251661046734,1.2262516610467342,-2.220446049250313e-16,1.2365414631182559,1.182731523893204,1.2289510345832195,0.36
cs.AI,2023-11,50,32,18,1.228868836704307,1.228868836704307,0.0,1.2549647098798513,1.1325489351333369,1.2319823642134886,0.36
cs.AI,2023-12,50,40,10,1.2454280475402093,1.2454280475402089,4.440892098500626e-16,1.260747205161509,1.1320489440280253,1.228310839323795,0.2
cs.AI,2024-01,50,37,13,1.2094912132837194,1.2094912132837192,2.220446049250313e-16,1.2342573895121243,1.0993578964739796,1.193059041439732,0.26
cs.AI,2024-02,50,26,24,1.2018156764052352,1.2018156764052352,0.0,1.2316552819364321,1.1388011324992493,1.2141460326879485,0.48
cs.AI,2024-03,50,32,18,1.2252366513529929,1.225236651352993,-2.220446049250313e-16,1.2426769814393053,1.1414430517878238,1.2324762642187221,0.36
cs.AI,2024-04,50,22,28,1.2061432491677282,1.2061432491677282,0.0,1.2390788564321285,1.1463185384926105,1.230503014357855,0.56
cs.AI,2024-05,50,31,19,1.235225336950917,1.2352253369509167,2.220446049250313e-16,1.234685062264584,1.2115209363303368,1.2425337923588353,0.38
cs.AI,2024-06,50,28,22,1.2141254612866337,1.214125461286634,-2.220446049250313e-16,1.239512522134627,1.1362758129127717,1.2277406557246544,0.44
cs.AI,2024-07,50,26,24,1.2043911388803656,1.2043911388803656,0.0,1.2426449974186813,1.1149458026424162,1.2240296144840859,0.48
cs.AI,2024-08,50,31,19,1.1978528143499083,1.1978528143499083,0.0,1.2227601435025408,1.105887021021077,1.2048888798902413,0.38
cs.AI,2024-09,50,21,29,1.2034501585620199,1.20345015856202,-2.220446049250313e-16,1.2536633759542923,1.1428272815402827,1.2265505073607852,0.58
cs.AI,2024-10,50,22,28,1.1816781756893457,1.181678175689346,-2.220446049250313e-16,1.235385134129789,1.1136671713739175,1.203272091649556,0.56
cs.AI,2024-11,50,33,17,1.2215134521342725,1.2215134521342725,0.0,1.2365107874120915,1.154273916707643,1.223698806486025,0.34
cs.AI,2024-12,50,29,21,1.1849994811286528,1.1849994811286528,0.0,1.216300190418497,1.1111379745950931,1.1896018266136623,0.42
cs.AI,2025-01,50,23,27,1.1965650429388985,1.1965650429388983,2.220446049250313e-16,1.218483029363934,1.1476630795223612,1.2152757331058397,0.54
cs.AI,2025-02,50,27,23,1.1678841989928996,1.1678841989928994,2.220446049250313e-16,1.201389521726668,1.0935990838672118,1.179210714044826,0.46
cs.AI,2025-03,50,22,28,1.1898427853553772,1.1898427853553772,0.0,1.2364670222905196,1.1363343148592049,1.2051934397637134,0.56
