primary_category,pre_months_raw,post_months_raw,usable_months_raw,eligible_monthly_did_raw,pre_months_selected,post_months_selected,usable_months_selected,eligible_monthly_did_selected
astro-ph.EP,32,34,66,True,32,34,66,True
astro-ph.HE,4,7,11,False,4,7,11,False
astro-ph.IM,53,37,90,True,53,37,90,True
astro-ph.SR,44,37,81,True,44,37,81,True
cond-mat.dis-nn,1,8,9,False,1,8,9,False
cond-mat.mes-hall,59,37,96,True,59,37,96,True
cond-mat.mtrl-sci,59,37,96,True,59,37,96,True
cond-mat.quant-gas,23,12,35,False,23,12,35,False
cond-mat.soft,59,37,96,True,59,37,96,True
cond-mat.stat-mech,59,37,96,True,59,37,96,True
cond-mat.str-el,11,13,24,False,11,13,24,False
cond-mat.supr-con,0,1,1,False,0,1,1,False
cs.AI,59,37,96,True,59,37,96,True
cs.AR,35,37,72,True,35,37,72,True
cs.CC,58,37,95,True,58,37,95,True
cs.CE,55,37,92,True,55,37,92,True
cs.CG,57,35,92,True,57,35,92,True
cs.CL,59,37,96,True,59,37,96,True
cs.CR,59,37,96,True,59,37,96,True
cs.CV,59,37,96,True,59,37,96,True
cs.CY,59,37,96,True,59,37,96,True
cs.DB,59,37,96,True,59,37,96,True
cs.DC,59,37,96,True,59,37,96,True
cs.DL,49,37,86,True,49,37,86,True
cs.DM,56,33,89,True,56,33,89,True
cs.DS,59,37,96,True,59,37,96,True
cs.ET,41,36,77,True,41,36,77,True
cs.FL,40,33,73,True,40,33,73,True
cs.GR,51,37,88,True,51,37,88,True
cs.GT,59,37,96,True,59,37,96,True
cs.HC,59,37,96,True,59,37,96,True
cs.IR,59,37,96,True,59,37,96,True
cs.IT,59,37,96,True,59,37,96,True
cs.LG,59,37,96,True,59,37,96,True
cs.LO,59,37,96,True,59,37,96,True
cs.MA,48,37,85,True,48,37,85,True
cs.MM,31,33,64,True,31,33,64,True
cs.MS,1,0,1,False,1,0,1,False
cs.NA,5,0,5,False,5,0,5,False
cs.NE,59,37,96,True,59,37,96,True
cs.NI,59,37,96,True,59,37,96,True
cs.OH,4,0,4,False,4,0,4,False
cs.OS,0,1,1,False,0,1,1,False
cs.PF,2,9,11,False,2,9,11,False
cs.PL,59,37,96,True,59,37,96,True
cs.RO,59,37,96,True,59,37,96,True
cs.SC,3,2,5,False,3,2,5,False
cs.SD,57,37,94,True,57,37,94,True
cs.SE,59,37,96,True,59,37,96,True
cs.SI,59,37,96,True,59,37,96,True
cs.SY,16,0,16,False,16,0,16,False
econ.EM,18,23,41,False,18,23,41,False
econ.GN,5,10,15,False,5,10,15,False
econ.TH,0,3,3,False,0,3,3,False
eess.AS,56,37,93,True,56,37,93,True
eess.IV,59,37,96,True,59,37,96,True
eess.SP,59,37,96,True,59,37,96,True
eess.SY,43,37,80,True,43,37,80,True
gr-qc,55,37,92,True,55,37,92,True
hep-ex,11,28,39,False,11,28,39,False
hep-ph,10,20,30,False,10,20,30,False
hep-th,59,37,96,True,59,37,96,True
math-ph,59,37,96,True,59,37,96,True
math.AC,59,37,96,True,59,37,96,True
math.AG,59,37,96,True,59,37,96,True
math.AP,59,37,96,True,59,37,96,True
math.AT,59,37,96,True,59,37,96,True
math.CA,59,37,96,True,59,37,96,True
math.CO,59,37,96,True,59,37,96,True
math.CT,57,37,94,True,57,37,94,True
math.CV,59,37,96,True,59,37,96,True
math.DG,59,37,96,True,59,37,96,True
math.DS,59,37,96,True,59,37,96,True
math.FA,59,37,96,True,59,37,96,True
math.GM,44,33,77,True,44,33,77,True
math.GN,43,24,67,True,43,24,67,True
math.GR,59,37,96,True,59,37,96,True
math.GT,59,37,96,True,59,37,96,True
math.HO,37,28,65,True,37,28,65,True
math.KT,8,4,12,False,8,4,12,False
math.LO,59,37,96,True,59,37,96,True
math.MG,59,37,96,True,59,37,96,True
math.NA,59,37,96,True,59,37,96,True
math.NT,59,37,96,True,59,37,96,True
math.OA,59,37,96,True,59,37,96,True
math.OC,59,37,96,True,59,37,96,True
math.PR,59,37,96,True,59,37,96,True
math.QA,59,37,96,True,59,37,96,True
math.RA,59,37,96,True,59,37,96,True
math.RT,59,37,96,True,59,37,96,True
math.SG,53,35,88,True,53,35,88,True
math.SP,56,36,92,True,56,36,92,True
math.ST,59,37,96,True,59,37,96,True
nlin.CD,0,7,7,False,0,7,7,False
nlin.SI,3,11,14,False,3,11,14,False
physics.acc-ph,57,37,94,True,57,37,94,True
physics.ao-ph,54,37,91,True,54,37,91,True
physics.app-ph,59,37,96,True,59,37,96,True
physics.atm-clus,1,0,1,False,1,0,1,False
physics.atom-ph,59,37,96,True,59,37,96,True
physics.bio-ph,59,37,96,True,59,37,96,True
physics.chem-ph,59,37,96,True,59,37,96,True
physics.class-ph,52,29,81,True,52,29,81,True
physics.comp-ph,59,37,96,True,59,37,96,True
physics.data-an,15,3,18,False,15,3,18,False
physics.ed-ph,41,35,76,True,41,35,76,True
physics.flu-dyn,59,37,96,True,59,37,96,True
physics.gen-ph,51,31,82,True,51,31,82,True
physics.geo-ph,55,37,92,True,55,37,92,True
physics.hist-ph,37,23,60,True,37,23,60,True
physics.ins-det,59,37,96,True,59,37,96,True
physics.med-ph,59,37,96,True,59,37,96,True
physics.optics,59,37,96,True,59,37,96,True
physics.plasm-ph,59,37,96,True,59,37,96,True
physics.pop-ph,3,0,3,False,3,0,3,False
physics.soc-ph,59,37,96,True,59,37,96,True
physics.space-ph,34,15,49,False,34,15,49,False
q-bio.BM,25,36,61,True,25,36,61,True
q-bio.GN,3,17,20,False,3,17,20,False
q-bio.MN,2,3,5,False,2,3,5,False
