outcome,exposure_name,model_name,term,coef,se_cluster,p_cluster,ci_low,ci_high,n_fields,n_field_months,weighting,controls,event_bin,event_midpoint_month,reference
semantic_distance,nature_frequency,expanded_month_event_study,event_lead_49_60,0.0005306007253195952,0.0011307607552134137,0.6388964861706465,-0.0016856496300300078,0.002746851080669198,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lead_49_60,-54.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lead_37_48,0.0008615434915157823,0.00108722347932148,0.42811267873336045,-0.0012693753711006468,0.0029924623541322114,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lead_37_48,-42.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lead_25_36,0.0008718066832439884,0.000999394715206484,0.38302581590668927,-0.0010869709649003845,0.0028305843313883613,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lead_25_36,-30.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lead_13_24,8.163495442188584e-05,0.000980608447046279,0.9336533230521449,-0.0018403222847245735,0.002003592193568345,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lead_13_24,-18.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lead_07_12,-0.0003244488620534475,0.001051490208703767,0.7576554974975643,-0.0023853318012093355,0.0017364340771024406,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lead_07_12,-9.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lead_04_06,0.0006682983980956896,0.0010363640238888526,0.5190249858488237,-0.00136293776359947,0.002699534559790849,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lead_04_06,-5.0,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lead_02_03,0.00048624145889774456,0.0013231780565749287,0.7132610150838834,-0.0021071398771228176,0.0030796227949183067,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lead_02_03,-2.5,False
semantic_distance,nature_frequency,,,0.0,,,,,102,9348,n_papers,primary-category FE; month FE; log_n_papers,reference_m01,-1.0,True
semantic_distance,nature_frequency,expanded_month_event_study,event_lag_00,0.0011477896481540614,0.0014476048409590738,0.4278426201273051,-0.001689463703971556,0.003985043000279679,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lag_00,0.0,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lag_01_02,-0.0010298014705972108,0.0010816684483200144,0.3410720822665907,-0.0031498326725177637,0.001090229731323342,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lag_01_02,1.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lag_03_06,-0.0011527925843766336,0.0011410246044660588,0.3123451057747826,-0.0033891597146041693,0.0010835745458509021,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lag_03_06,4.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lag_07_12,-0.000771624327965079,0.0012324317536820638,0.531249987121138,-0.0031871461785854633,0.0016438975226553054,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lag_07_12,9.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lag_13_24,-0.0011508943346398431,0.0013536012291023858,0.39518820714380465,-0.0038039039931096696,0.0015021153238299833,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lag_13_24,18.5,False
semantic_distance,nature_frequency,expanded_month_event_study,event_lag_25_36,-0.0033073943439036885,0.001729312696127148,0.05580588241914622,-0.006696784946320757,8.199625851338039e-05,102,9348,n_papers,primary-category FE; month FE; log_n_papers,lag_25_36,30.5,False
