primary_category,macro_field,rows,pre_rows,post_rows,observed_genai_marker_share,arxiv_macro_field,n_respondents,mean_frequency_score,share_any_use,share_weekly_or_daily,share_use_research,share_use_code,share_use_manuscripts,share_use_review,share_use_literature,share_use_scientific_search,share_use_brainstorm,nature_frequency_z,nature_any_use_z,nature_weekly_z,nature_research_writing_raw,nature_research_writing_z,n_pre_papers,text_writing_share,code_computation_share,ai_ml_method_share,literature_synthesis_share,pre_task_supported,text_writing_z,code_computation_z,ai_ml_method_z,literature_synthesis_z,pre_task_fit_raw,pre_task_fit_z,pre_ai_ml_z,ai_heavy_category,exposure_claim_role
astro-ph.CO,astro-ph,527,304,223,0.003795066413662239,astro-ph,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,304,0.039473684210526314,0.5822368421052632,0.32894736842105265,0.14802631578947367,True,-0.2896187969297691,0.767975292558733,1.2441626618784285,1.6042329289697406,2.082589424598704,0.9830096335762555,1.2441626618784285,False,primary_external_adoption
astro-ph.EP,astro-ph,1745,946,799,0.0017191977077363897,astro-ph,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,946,0.007399577167019027,0.36046511627906974,0.0919661733615222,0.08350951374207188,True,-0.6474227507503555,-0.15630591418892875,-0.2925601011580773,0.2206147251883882,-0.5831139397508961,-0.2752374584626473,-0.2925601011580773,False,primary_external_adoption
astro-ph.GA,astro-ph,597,341,256,0.008375209380234505,astro-ph,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,341,0.03225806451612903,0.4340175953079179,0.20234604105571846,0.16422287390029325,True,-0.37011292424620407,0.15023980899918185,0.4232066297170004,1.9515820214475035,1.7317089062004813,0.8173894082233172,0.4232066297170004,False,primary_external_adoption
astro-ph.HE,astro-ph,880,490,390,0.0022727272727272726,astro-ph,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,490,0.030612244897959183,0.33877551020408164,0.044897959183673466,0.0653061224489796,True,-0.3884729292763633,-0.24670199692755004,-0.5977775515317578,-0.16977262763130674,-0.8049475538352201,-0.37994584558890326,-0.5977775515317578,False,primary_external_adoption
astro-ph.IM,astro-ph,2505,1428,1077,0.0187624750499002,astro-ph,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,1428,0.03851540616246499,0.5770308123249299,0.1792717086834734,0.11134453781512606,True,-0.30030890512173586,0.7462780474757335,0.2735793489979891,0.8175607111638495,1.2635298535178472,0.5964027300093357,0.2735793489979891,False,primary_external_adoption
astro-ph.SR,astro-ph,2327,1234,1093,0.003867640739149119,astro-ph,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,1234,0.011345218800648298,0.4011345218800648,0.055105348460291734,0.06239870340356564,True,-0.6034069914041431,0.013192551616661769,-0.5315869516885353,-0.23212472490822625,-0.8223391646957076,-0.38815491494138155,-0.5315869516885353,False,primary_external_adoption
cond-mat.dis-nn,cond-mat,993,551,442,0.008056394763343404,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,551,0.045372050816696916,0.3738656987295826,0.36116152450090744,0.06896551724137931,True,-0.22381933788611127,-0.10045611425460976,1.453057831503546,-0.09129376493338681,-0.4155692170741079,-0.19615414299931222,1.453057831503546,False,primary_external_adoption
cond-mat.mes-hall,cond-mat,3554,2112,1442,0.0005627462014631402,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,2112,0.024147727272727272,0.13920454545454544,0.028882575757575756,0.036458333333333336,True,-0.4605881081249376,-1.078456772895073,-0.7016305355774307,-0.7884382293442973,-2.327483110364308,-1.0986026782091267,-0.7016305355774307,False,primary_external_adoption
cond-mat.mtrl-sci,cond-mat,4384,2534,1850,0.00843978102189781,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,2534,0.018153117600631413,0.2983425414364641,0.14325177584846094,0.04775059194948698,True,-0.5274612104494251,-0.4152150615470351,0.04000532766391267,-0.5462660495819215,-1.4889423215783815,-0.7028003833415096,0.04000532766391267,False,primary_external_adoption
cond-mat.other,cond-mat,195,112,83,0.0,cond-mat,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,112,0.017857142857142856,0.25892857142857145,0.03571428571428571,0.044642857142857144,True,-0.5307629682600974,-0.5794812304010472,-0.6573297875864264,-0.6129140903173987,-1.7231582889785435,-0.8133534042933498,-0.6573297875864264,False,primary_external_adoption
