primary_category,macro_field,month,month_start,event_time,event_bin,post_gpt,n_papers,log_n_papers,semantic_distance,centroid_dispersion,genai_marker_share
astro-ph.CO,astro-ph,2018-01,2018-01-01,-59,lead_49_60,0,8,2.1972245773362196,1.1830746795324585,0.7826067805290222,0.0
astro-ph.CO,astro-ph,2018-02,2018-02-01,-58,lead_49_60,0,4,1.6094379124341003,1.2065054220787357,0.7388108372688293,0.0
astro-ph.CO,astro-ph,2018-03,2018-03-01,-57,lead_49_60,0,3,1.3862943611198906,1.1070384142317289,0.6419067978858948,0.0
astro-ph.CO,astro-ph,2018-04,2018-04-01,-56,lead_49_60,0,4,1.6094379124341003,1.1240827717800401,0.6880334615707397,0.0
astro-ph.CO,astro-ph,2018-05,2018-05-01,-55,lead_49_60,0,7,2.0794415416798357,1.150441667248905,0.7551479935646057,0.0
astro-ph.CO,astro-ph,2018-06,2018-06-01,-54,lead_49_60,0,2,1.0986122886681098,1.276635305050816,0.6383176445960999,0.0
astro-ph.CO,astro-ph,2018-07,2018-07-01,-53,lead_49_60,0,5,1.791759469228055,1.185424742043938,0.7491823434829712,0.0
astro-ph.CO,astro-ph,2018-08,2018-08-01,-52,lead_49_60,0,5,1.791759469228055,1.0997574258218594,0.6952996850013733,0.0
astro-ph.CO,astro-ph,2018-09,2018-09-01,-51,lead_49_60,0,6,1.9459101490553132,1.1917699245408901,0.7684969305992126,0.0
astro-ph.CO,astro-ph,2018-10,2018-10-01,-50,lead_49_60,0,6,1.9459101490553132,1.086392566134108,0.7011628150939941,0.0
astro-ph.CO,astro-ph,2018-11,2018-11-01,-49,lead_49_60,0,3,1.3862943611198906,1.095004645054579,0.6336943507194519,0.0
astro-ph.CO,astro-ph,2018-12,2018-12-01,-48,lead_37_48,0,5,1.791759469228055,1.0976513015418563,0.6955046057701111,0.0
astro-ph.CO,astro-ph,2019-02,2019-02-01,-46,lead_37_48,0,8,2.1972245773362196,1.2129733088505703,0.8009943962097168,0.0
astro-ph.CO,astro-ph,2019-03,2019-03-01,-45,lead_37_48,0,4,1.6094379124341003,1.1919828365237846,0.7305676937103271,0.0
astro-ph.CO,astro-ph,2019-04,2019-04-01,-44,lead_37_48,0,2,1.0986122886681098,1.2381666859079201,0.6190833449363708,0.0
astro-ph.CO,astro-ph,2019-05,2019-05-01,-43,lead_37_48,0,5,1.791759469228055,1.225974776640881,0.7751760482788086,0.0
astro-ph.CO,astro-ph,2019-06,2019-06-01,-42,lead_37_48,0,3,1.3862943611198906,1.2312329278906657,0.710519015789032,0.0
astro-ph.CO,astro-ph,2019-07,2019-07-01,-41,lead_37_48,0,6,1.9459101490553132,1.071951655845944,0.692552387714386,0.0
astro-ph.CO,astro-ph,2019-08,2019-08-01,-40,lead_37_48,0,3,1.3862943611198906,1.1058351210032682,0.6383628845214844,0.0
astro-ph.CO,astro-ph,2019-09,2019-09-01,-39,lead_37_48,0,2,1.0986122886681098,1.2657790477009483,0.6328895092010498,0.0
astro-ph.CO,astro-ph,2019-10,2019-10-01,-38,lead_37_48,0,11,2.4849066497880004,1.0750918090646762,0.7244978547096252,0.0
astro-ph.CO,astro-ph,2019-11,2019-11-01,-37,lead_37_48,0,9,2.302585092994046,1.1564429775675744,0.7714387774467468,0.0
astro-ph.CO,astro-ph,2019-12,2019-12-01,-36,lead_25_36,0,1,0.6931471805599453,,,0.0
astro-ph.CO,astro-ph,2020-01,2020-01-01,-35,lead_25_36,0,1,0.6931471805599453,,,0.0
astro-ph.CO,astro-ph,2020-02,2020-02-01,-34,lead_25_36,0,3,1.3862943611198906,1.1361955425499903,0.6562504172325134,0.0
astro-ph.CO,astro-ph,2020-03,2020-03-01,-33,lead_25_36,0,7,2.0794415416798357,1.12555122056656,0.7374201416969299,0.0
astro-ph.CO,astro-ph,2020-04,2020-04-01,-32,lead_25_36,0,5,1.791759469228055,1.0798834952917873,0.6851899027824402,0.0
astro-ph.CO,astro-ph,2020-05,2020-05-01,-31,lead_25_36,0,8,2.1972245773362196,0.9936363608530543,0.6581099033355713,0.0
astro-ph.CO,astro-ph,2020-06,2020-06-01,-30,lead_25_36,0,2,1.0986122886681098,1.1104364684989607,0.5552182197570801,0.0
astro-ph.CO,astro-ph,2020-07,2020-07-01,-29,lead_25_36,0,6,1.9459101490553132,1.1873531740646002,0.7682420611381531,0.0
astro-ph.CO,astro-ph,2020-08,2020-08-01,-28,lead_25_36,0,4,1.6094379124341003,1.105051992980383,0.6763737797737122,0.0
astro-ph.CO,astro-ph,2020-09,2020-09-01,-27,lead_25_36,0,6,1.9459101490553132,1.1309504033472668,0.7340615391731262,0.0
astro-ph.CO,astro-ph,2020-10,2020-10-01,-26,lead_25_36,0,7,2.0794415416798357,1.0447405653382724,0.6833761930465698,0.0
astro-ph.CO,astro-ph,2020-11,2020-11-01,-25,lead_25_36,0,5,1.791759469228055,1.0880467811735235,0.6881220936775208,0.0
astro-ph.CO,astro-ph,2020-12,2020-12-01,-24,lead_13_24,0,6,1.9459101490553132,0.9723906668759571,0.6276524066925049,0.0
