dropped,coef,se,t,p,ci_low,ci_high,n_cat,n_macro,n_cells
(none) baseline,-0.0022249996001236652,0.0008340180778571097,-2.6678074003389516,0.00763480107554546,-0.003859644995178923,-0.0005903542050684075,102,12,9348
drop astro-ph,-0.0022535176708012943,0.0008399319829966847,-2.682976379541186,0.007297014392940388,-0.003899754106938105,-0.0006072812346644833,99,11,9111
drop cond-mat,-0.0022379864666596462,0.0008506370220243857,-2.630953519203269,0.008514568025732114,-0.003905204393743847,-0.0005707685395754454,98,11,8964
drop cs,-0.003194743050136251,0.004777718337873729,-0.6686754689599462,0.503702519176668,-0.01255889892064533,0.006169412820372828,70,11,6421
drop eess,-0.002229919211680395,0.0008348603137150611,-2.671008760444528,0.007562367311502083,-0.0038662153586837256,-0.0005936230646770642,98,11,8983
drop gr-qc,-0.0022257216644308007,0.0008368830585286956,-2.659537245674192,0.007824807785070805,-0.00386598231841877,-0.0005854610104428311,101,11,9256
drop hep-th,-0.002245996157431478,0.0008378761288026388,-2.6805825828229572,0.007349412763905703,-0.0038882031933904935,-0.0006037891214724627,101,11,9252
drop math,-0.0021251352370540775,0.000916419199621624,-2.3189553840987993,0.020397455608202428,-0.003921283863053483,-0.000328986611054672,73,11,6657
drop math-ph,-0.0021996463118676363,0.000835446152089224,-2.6329001652194077,0.0084659228174173,-0.003837090680985088,-0.0005622019427501848,101,11,9252
drop physics,-0.0021022185369562853,0.0008201212601807833,-2.5633020859535858,0.010368179398561272,-0.003709626669866224,-0.0004948104040463468,84,11,7716
drop q-bio,-0.002248901830190635,0.0008287851950857951,-2.713491799232527,0.0066578216117439346,-0.0038732909634787965,-0.0006245126969024741,98,11,8999
drop quant-ph,-0.0022868073311898677,0.0008359371590268355,-2.735621100815852,0.006226267178951059,-0.003925214056221197,-0.0006484006061585384,101,11,9252
drop stat,-0.0022482995933056594,0.0008408977999353378,-2.673689470323916,0.007502188368457698,-0.003896428995857889,-0.0006001701907534297,98,11,8965
