event_bin,mid,coef,p
lead_49_60,-54.5,-0.0005055267359558233,0.7800932230040728
lead_37_48,-42.5,-0.0006873743594768902,0.6133248958246016
lead_25_36,-30.5,-0.0003813662437745641,0.7523302231844897
lead_13_24,-18.5,-0.0011016774329085377,0.41482254564712817
lead_07_12,-9.5,-0.002680391866093826,0.07237910605446396
lead_04_06,-5.0,-0.001315948694429657,0.4089422278526166
lead_02_03,-2.5,5.239585973429439e-05,0.977324493865223
reference_m01,-1.0,0.0,
lag_00,0.0,-0.0017762790327877295,0.3990773673993526
lag_01_02,1.5,-0.0020114621435128738,0.24693871530689337
lag_03_06,4.5,-0.0020722154042687665,0.11259939918637227
lag_07_12,9.5,-0.00208317845596364,0.23823386245289713
lag_13_24,18.5,-0.0019417408756234808,0.16211302102400915
lag_25_36,30.5,-0.002759481633965194,0.12252288328127148
