boot,period,tdi_h1_persistence,sample_size,maxdim,coefficient_field,infinite_bars
0,Pre-GPT,21.449698209762573,500,1,2,excluded
0,Post-GPT,20.267037093639374,500,1,2,excluded
1,Pre-GPT,23.39266586303711,500,1,2,excluded
1,Post-GPT,20.815680027008057,500,1,2,excluded
2,Pre-GPT,21.0887970328331,500,1,2,excluded
2,Post-GPT,19.212864816188812,500,1,2,excluded
3,Pre-GPT,21.292685866355896,500,1,2,excluded
3,Post-GPT,20.65466409921646,500,1,2,excluded
4,Pre-GPT,22.71344393491745,500,1,2,excluded
4,Post-GPT,19.985933780670166,500,1,2,excluded
5,Pre-GPT,21.792994499206543,500,1,2,excluded
5,Post-GPT,18.931187391281128,500,1,2,excluded
6,Pre-GPT,21.314258217811584,500,1,2,excluded
6,Post-GPT,19.156923353672028,500,1,2,excluded
7,Pre-GPT,22.41365021467209,500,1,2,excluded
7,Post-GPT,19.558593332767487,500,1,2,excluded
8,Pre-GPT,22.69661557674408,500,1,2,excluded
8,Post-GPT,20.639497995376587,500,1,2,excluded
9,Pre-GPT,20.88495695590973,500,1,2,excluded
9,Post-GPT,18.52603578567505,500,1,2,excluded
10,Pre-GPT,21.87019795179367,500,1,2,excluded
10,Post-GPT,20.50763648748398,500,1,2,excluded
11,Pre-GPT,20.635512113571167,500,1,2,excluded
11,Post-GPT,20.062231123447418,500,1,2,excluded
12,Pre-GPT,21.325281023979187,500,1,2,excluded
12,Post-GPT,20.410364151000977,500,1,2,excluded
13,Pre-GPT,20.378159046173096,500,1,2,excluded
13,Post-GPT,18.68577367067337,500,1,2,excluded
14,Pre-GPT,20.932393610477448,500,1,2,excluded
14,Post-GPT,20.94361013174057,500,1,2,excluded
15,Pre-GPT,20.88559776544571,500,1,2,excluded
15,Post-GPT,17.912503838539124,500,1,2,excluded
16,Pre-GPT,23.52734875679016,500,1,2,excluded
16,Post-GPT,19.44571214914322,500,1,2,excluded
17,Pre-GPT,22.864850759506226,500,1,2,excluded
17,Post-GPT,17.97093015909195,500,1,2,excluded
18,Pre-GPT,21.384619414806366,500,1,2,excluded
18,Post-GPT,20.504899561405182,500,1,2,excluded
19,Pre-GPT,22.003273665905,500,1,2,excluded
19,Post-GPT,20.531923711299896,500,1,2,excluded
